renda_mensal,score_credito,estado_civil,tempo_emprego_anos,patrimonio,dividas_pendentes,risco
6788,564,divorciado,0,85925,4557,0
8851,552,casado,11,153201,29118,1
4836,885,solteiro,18,53527,17612,0
12614,777,casado,14,154712,18506,0
2367,475,divorciado,8,12309,1630,1
12008,486,casado,6,133842,25653,0
2262,516,solteiro,1,33288,2134,1
3356,761,divorciado,8,17560,3437,0
9060,741,casado,9,83471,14896,0
6361,868,solteiro,1,51647,11638,0
6505,426,divorciado,18,36621,18766,1
12374,712,solteiro,10,150825,43961,0
7741,686,divorciado,12,59805,24519,0
12686,533,casado,9,204830,14812,0
5929,618,solteiro,13,105055,7555,0
10548,567,divorciado,17,139062,46985,1
8530,497,solteiro,18,168259,25697,1
6534,667,solteiro,8,76821,28845,0
10124,636,casado,6,128580,21988,0
5530,708,solteiro,2,109705,18054,0
9210,854,divorciado,19,78038,26308,0
8001,793,divorciado,5,153124,15490,0
6046,572,divorciado,1,34114,15807,1
7931,800,divorciado,5,92759,21899,0
8441,809,casado,2,51068,11846,0
2153,868,solteiro,15,34315,4128,0
3739,875,casado,7,52817,15185,0
8256,589,solteiro,1,128789,38151,1
12716,521,solteiro,16,135008,26946,1
12693,445,solteiro,8,133812,23880,0
2742,463,casado,11,15573,3779,1
6493,529,solteiro,2,66547,23070,1
2391,709,casado,10,45283,4671,0
7513,762,divorciado,0,80301,37150,0
14904,592,divorciado,12,260380,29295,0
12385,706,solteiro,14,218408,28158,0
8138,580,casado,4,86251,26163,1
3881,691,divorciado,16,56196,15941,0
10609,770,casado,5,68221,27719,0
2740,681,casado,10,17961,6581,0
7372,428,solteiro,17,42240,36715,1
12628,548,divorciado,3,173195,6910,0
6741,666,solteiro,2,76787,30521,0
11778,695,solteiro,12,155710,13793,0
13111,410,divorciado,8,168031,52924,1
10780,563,divorciado,5,110527,35365,1
11248,512,casado,11,170543,22926,1
2565,586,divorciado,1,42008,11369,1
9891,694,casado,2,51625,5519,0
11072,631,casado,2,89778,16830,0
9902,626,casado,11,155446,30211,0
8694,709,divorciado,14,93889,18100,0
5512,497,solteiro,8,82334,17895,1
2524,454,casado,7,25756,1535,1
10547,510,solteiro,10,114554,10800,0
11219,551,solteiro,15,82798,12026,0
4341,645,divorciado,3,38519,5868,1
8619,805,solteiro,0,121365,22124,0
4686,468,solteiro,6,53877,18203,1
3010,711,divorciado,1,50009,13770,1
7788,688,casado,4,138538,33170,0
4123,649,solteiro,6,54113,5714,0
6501,435,divorciado,3,106447,16156,0
11606,638,solteiro,4,111459,16217,0
5386,547,solteiro,0,60455,9103,1
10105,866,casado,0,158564,27950,1
7177,626,solteiro,14,77462,5788,0
12994,643,divorciado,19,179675,19254,0
13526,890,solteiro,18,105240,63696,0
12914,736,casado,9,180751,33544,0
5468,845,casado,17,98001,13693,1
5948,764,divorciado,2,107240,3363,0
6049,890,casado,10,95968,9758,0
10635,881,solteiro,14,172141,46776,0
4909,600,casado,10,65627,6091,0
10473,553,divorciado,16,144213,24800,1
7819,849,casado,16,54770,4413,0
9847,472,casado,5,114795,26119,1
14316,600,casado,4,168379,8512,0
10286,695,divorciado,7,199316,43080,0
10776,416,casado,1,123560,45386,1
11350,528,casado,15,150275,45908,1
4272,616,solteiro,19,55530,7583,1
7730,460,divorciado,11,112482,32988,1
11388,826,casado,5,184753,33520,0
13677,503,divorciado,0,114553,29845,1
1704,441,casado,3,22034,5647,1
2414,424,casado,16,41976,1341,1
2731,438,casado,12,32626,3122,1
12832,690,solteiro,17,117757,49278,1
8776,530,solteiro,4,130065,14030,0
2023,897,solteiro,2,35112,6455,1
2128,628,divorciado,10,12655,4751,1
6229,507,divorciado,12,103724,27075,1
14628,571,solteiro,3,253425,70007,1
1333,834,divorciado,13,15893,5966,0
3305,877,casado,10,65272,5677,0
4827,501,casado,9,81096,6631,1
14172,753,casado,18,235325,37342,0
7516,411,solteiro,17,121891,4006,0
3052,674,divorciado,5,22154,1880,1
6110,500,solteiro,14,50459,18267,1
14660,443,divorciado,9,175331,41664,0
5375,842,casado,4,48160,26743,0
12325,704,solteiro,4,138392,17357,0
12676,844,divorciado,9,232312,21060,0
13690,416,divorciado,4,237725,13839,1
12203,729,casado,2,176340,56486,0
6548,456,solteiro,5,117024,26192,1
10642,710,solteiro,3,178323,44701,0
12904,896,solteiro,17,147554,58873,0
7390,702,casado,8,59238,21150,1
2456,411,solteiro,16,31223,6214,1
4576,717,casado,12,73414,9091,0
6845,479,casado,14,79034,21571,1
14654,615,casado,19,219833,37283,1
4686,738,divorciado,16,30060,11865,0
4784,663,solteiro,12,77596,22562,1
10788,878,solteiro,15,185453,53164,0
13029,548,casado,3,203285,53212,1
9253,480,casado,4,180516,36136,1
4530,614,solteiro,4,78821,16138,1
3903,884,casado,8,72386,4868,0
9862,773,solteiro,16,187413,7554,0
9320,863,divorciado,12,158628,33629,0
8314,597,casado,1,125656,31423,1
14523,599,solteiro,12,73860,10331,0
2553,424,casado,18,30603,11938,1
12175,865,solteiro,2,165183,11080,0
12223,488,solteiro,9,116857,21837,1
6263,667,casado,1,61199,22081,1
9749,542,divorciado,12,189300,12326,0
12411,458,solteiro,18,228060,9300,0
8775,809,solteiro,16,155648,17463,0
1867,888,solteiro,13,20705,7368,0
5668,764,divorciado,11,29504,13385,1
14519,425,divorciado,11,90066,49921,1
10537,446,casado,10,102029,32752,1
14859,687,divorciado,6,77803,8915,0
8019,665,casado,3,42157,39681,0
13577,415,casado,18,254555,9319,0
4919,598,divorciado,0,76698,23882,1
3945,800,casado,2,38007,11733,0
8683,806,divorciado,12,60691,41975,0
1739,681,casado,14,22041,1767,1
12171,868,divorciado,1,61831,32944,1
6164,485,divorciado,10,117585,7783,0
13528,649,casado,3,151814,9867,1
6035,790,solteiro,18,66596,19788,0
4975,669,casado,16,54023,7139,0
7242,734,divorciado,2,43741,22773,0
8302,516,solteiro,17,121000,8348,0
8512,406,casado,7,136149,16972,0
6520,536,casado,18,98725,26193,1
14416,770,casado,4,102015,35560,0
7332,575,solteiro,6,100320,24377,1
9091,727,divorciado,7,123112,31032,0
11900,897,casado,4,214511,51133,0
3979,714,casado,16,42523,7807,0
2124,614,casado,4,22455,7631,1
12348,876,casado,3,176303,59607,0
2781,481,casado,18,40313,10529,1
8914,622,divorciado,1,107318,24107,0
4524,877,divorciado,10,52686,15102,1
13877,771,casado,12,172244,53129,0
6913,822,solteiro,14,123851,22503,0
8226,882,divorciado,11,98033,4730,0
1455,801,solteiro,10,27789,2002,0
6004,842,divorciado,6,75410,24899,0
3038,889,casado,4,58445,5246,0
11336,502,divorciado,16,198294,42986,1
1209,672,casado,19,12617,2629,1
4071,413,divorciado,8,73093,11596,1
10189,558,casado,13,67766,8211,0
8609,551,casado,11,162500,11325,0
8618,882,casado,5,124742,41430,0
14364,507,casado,16,83539,64718,1
6324,587,solteiro,18,92734,21724,0
2215,700,casado,18,43444,5689,0
11216,497,solteiro,15,67823,39715,1
13861,530,solteiro,11,184632,45516,0
12528,692,casado,11,203165,38316,1
3393,570,solteiro,19,58203,2600,1
9615,823,divorciado,5,107759,32187,0
14750,873,casado,3,118921,58412,1
14340,582,solteiro,5,80807,71318,1
8649,870,casado,10,118455,4755,0
5358,763,casado,0,63190,20284,0
14728,438,casado,14,283236,45259,1
5125,414,solteiro,10,30284,12572,1
8170,775,divorciado,18,124845,8775,0
8138,896,divorciado,17,43737,19050,0
5984,403,solteiro,16,45307,12534,1
14972,748,casado,18,176724,27888,0
5200,869,solteiro,13,61480,19702,0
2833,808,solteiro,17,43303,10349,0
11544,796,solteiro,18,215332,36370,0
8466,609,casado,14,123480,39993,0
9902,560,solteiro,14,191138,20540,0
1584,415,casado,3,28867,2529,1
1604,892,solteiro,6,22083,5536,0
9375,825,divorciado,12,164126,13074,0
14005,507,solteiro,2,205014,26855,1
13963,781,solteiro,15,86268,21094,0
3200,849,divorciado,8,51547,2595,0
12148,710,casado,7,78034,51310,0
11060,626,casado,19,153858,18198,0
7189,569,solteiro,12,111714,18897,1
2660,433,divorciado,16,15954,1848,1
8390,813,casado,16,70995,30598,0
8340,650,solteiro,16,156250,16575,0
4836,646,divorciado,0,68887,18624,1
12116,668,casado,7,105340,28543,0
6009,540,casado,18,92299,8297,0
5378,673,divorciado,5,75031,15108,1
14656,815,divorciado,2,183546,15935,0
8445,495,divorciado,4,165883,20964,1
7800,626,divorciado,12,118964,15037,0
7197,778,solteiro,14,76515,33133,0
3248,438,divorciado,13,55219,2514,0
13538,701,casado,15,247322,49049,0
5980,899,casado,17,41132,7907,0
1916,428,solteiro,10,15343,3708,1
9139,845,casado,2,75336,21657,0
6765,896,casado,9,103965,31024,0
5744,876,divorciado,9,80677,9142,0
6176,717,casado,15,88223,5625,0
13975,644,solteiro,11,267084,27029,0
11215,635,divorciado,1,186602,10890,0
11473,584,divorciado,8,79382,12375,0
4619,671,solteiro,2,47172,14237,1
8439,839,divorciado,14,97309,6532,0
10966,635,divorciado,2,119961,7009,1
1449,638,solteiro,18,21792,5382,0
10065,776,divorciado,17,184978,21412,0
13925,665,solteiro,7,133551,14818,0
11557,813,solteiro,16,153455,18968,0
1970,808,casado,7,33177,6677,1
13354,758,casado,6,150142,23234,0
5563,739,divorciado,6,41843,15161,0
11376,788,divorciado,2,137925,11917,0
2277,464,solteiro,0,13271,7164,1
9627,877,divorciado,3,184219,18506,0
9780,576,solteiro,4,59876,32482,1
12429,402,solteiro,0,143888,51428,1
9101,828,divorciado,14,117841,29600,0
6058,541,solteiro,4,119824,11091,0
11240,775,casado,12,84191,18555,0
7744,557,divorciado,7,52012,15281,1
5919,897,casado,7,30367,7344,0
4014,723,divorciado,4,29436,5279,0
4574,545,solteiro,8,37090,18561,1
12670,845,divorciado,0,183191,28270,1
2452,692,casado,3,20340,6036,1
8196,552,solteiro,2,43502,26007,1
13373,831,divorciado,1,232680,42170,0
5873,592,divorciado,7,61572,4717,0
11514,836,divorciado,8,118656,48841,0
5730,893,casado,1,54648,7437,0
11542,862,casado,13,226576,43326,0
14251,472,divorciado,13,107619,56676,1
8081,798,solteiro,3,149284,30037,0
8149,704,solteiro,5,135697,25305,0
10721,776,casado,10,65904,6065,0
7441,743,solteiro,2,147338,15787,0
9217,851,casado,7,83602,29695,0
8141,539,divorciado,2,52743,18264,1
10750,586,casado,13,187476,47145,1
8202,692,casado,12,127952,15498,0
11874,460,divorciado,12,169302,21621,1
13934,884,solteiro,1,102271,23645,0
11409,826,casado,12,138932,22789,0
2531,779,casado,18,42288,7614,0
13736,597,divorciado,5,131238,50570,1
5461,694,solteiro,15,52837,19012,1
8848,839,casado,1,44656,36584,0
10750,718,divorciado,7,81846,48231,0
6315,701,casado,16,114497,26348,0
5837,743,divorciado,1,67862,3416,0
6054,410,solteiro,9,119648,23075,1
